,word,freq
1,the,1161313
2,a,718933
3,to,677793
4,and,590246
5,of,491346
6,i,486879
7,in,404108
8,that,271422
9,it,271347
10,for,270812
11,s,269366
12,is,264257
13,you,254098
14,on,202273
15,with,174344
16,was,151690
17,my,150865
18,at,140186
19,be,135305
20,this,133853
21,t,133547
22,have,130214
23,are,120745
24,but,118835
25,as,117419
26,we,117347
27,he,113426
28,not,101678
29,so,96103
30,from,93516
31,me,92150
32,they,86222
33,all,85029
34,will,77100
35,or,76979
36,can,76860
37,by,76537
38,your,75424
39,just,75180
40,up,74424
41,out,74289
42,what,73976
43,his,73376
44,one,73329
45,about,72942
46,an,72727
47,said,72511
48,if,68343
49,like,67628
50,m,67166
51,when,65196
52,has,63322
53,who,62957
54,do,59790
55,more,59777
56,there,58515
57,had,56595
58,get,56333
59,time,55348
60,she,51824
61,her,51133
62,would,50473
63,their,49806
64,no,49796
65,some,49396
66,new,47795
67,our,45946
68,been,45921
69,good,44431
70,now,44359
71,how,44247
72,day,43922
73,were,43434
74,know,40784
75,love,40269
76,people,39650
77,them,39378
78,re,35877
79,back,35670
80,which,35463
81,year,35415
82,go,35317
83,see,34875
84,than,34577
85,first,34262
86,don,32576
87,after,32523
88,into,32354
89,make,32353
90,also,31651
91,going,31486
92,over,31310
93,only,31219
94,its,31184
95,think,31116
96,other,31024
97,great,30684
98,then,30587
99,last,30563
100,much,30035
101,two,29666
102,today,29474
103,us,29461
104,him,29442
105,because,29094
106,well,28664
107,too,28399
108,really,28220
109,way,27813
110,u,27593
111,could,27293
112,got,26916
113,even,26783
114,want,26363
115,here,26310
116,am,26299
117,work,26225
118,ve,25854
119,right,25761
120,did,25713
121,still,25451
122,d,25363
123,off,25074
124,thanks,24544
125,need,24239
126,where,24163
127,ll,24058
128,very,23377
129,any,22966
130,life,22899
131,most,22679
132,years,22545
133,rt,22476
134,down,22269
135,before,21738
136,those,21714
137,many,21593
138,say,21470
139,should,21353
140,being,21082
141,take,21071
142,made,20845
143,come,20614
144,little,20393
145,these,20382
146,home,20320
147,never,20224
148,week,19941
149,best,19836
150,may,19779
151,night,19362
152,next,19099
153,while,19031
154,why,19015
155,through,18937
156,things,18493
157,lol,18488
158,game,18260
159,school,18250
160,something,17642
161,state,17446
162,long,17091
163,always,16955
164,world,16852
165,let,16697
166,happy,16580
167,around,16472
168,better,16349
169,another,16339
170,every,16241
171,show,16229
172,look,15936
173,old,15677
174,big,15650
175,man,15592
176,three,15364
177,city,15292
178,ia,15160
179,same,15052
180,again,14899
181,few,14541
182,since,14431
183,feel,14330
184,sure,14139
185,follow,14130
186,hope,14077
187,help,13780
188,thing,13771
189,such,13734
190,find,13698
191,use,13551
192,tonight,13438
193,ever,13252
194,own,13238
195,lot,13133
196,getting,13092
197,keep,13059
198,days,12993
199,team,12956
200,does,12870
201,house,12841
202,family,12779
203,place,12712
204,high,12689
205,looking,12653
206,part,12559
207,says,12446
208,both,12426
209,ita,12372
210,until,12330
211,put,12316
212,thank,12295
213,each,12248
214,give,12228
215,didn,12114
216,play,12056
217,though,12022
218,end,12009
219,free,11979
220,doing,11792
221,book,11729
222,morning,11663
223,th,11648
224,everyone,11647
225,away,11538
226,might,11403
227,start,11346
228,oh,11301
229,season,11294
230,p,11153
231,used,11124
232,left,11048
233,yes,10956
234,thought,10948
235,done,10786
236,god,10779
237,during,10763
238,someone,10694
239,went,10687
240,call,10686
241,without,10605
242,please,10604
243,fun,10588
244,st,10532
245,friends,10528
246,found,10464
247,money,10353
248,hard,10303
249,tell,10278
250,having,10228
251,live,10126
252,making,10037
253,second,10031
254,enough,9972
255,real,9870
256,bad,9860
257,times,9840
258,against,9787
259,yet,9780
260,told,9729
261,music,9687
262,between,9615
